date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:36	2491/2491	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:38:36%20GMT	https://seucreditohoje.site/direto/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/index.html	(from )
16:38:40	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20May%202025%2019:38:40%20GMT	https://seucreditohoje.site/robots.txt		(from )
16:39:23	2491/2491	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:38:41%20GMT	https://seucreditohoje.site/direto/?C=M;O=A	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/indexf8a0.html	(from https://seucreditohoje.site/direto/)
16:39:23	2491/2491	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:38:41%20GMT	https://seucreditohoje.site/direto/?C=N;O=D	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/indexc052.html	(from https://seucreditohoje.site/direto/)
16:39:24	2491/2491	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:38:42%20GMT	https://seucreditohoje.site/direto/?C=S;O=A	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/indexbfec.html	(from https://seucreditohoje.site/direto/)
16:39:27	2491/2491	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:38:46%20GMT	https://seucreditohoje.site/direto/?C=D;O=A	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/index30b5.html	(from https://seucreditohoje.site/direto/)
16:40:10	992/992	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2020:04:13%20GMT	https://seucreditohoje.site/direto/1oKifuy0/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/1oKifuy0/index.html	(from https://seucreditohoje.site/direto/)
16:40:11	22723/22723	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2020:04:13%20GMT	https://seucreditohoje.site/direto/3/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/3/index.html	(from https://seucreditohoje.site/direto/)
16:40:11	14719/14719	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2020:04:13%20GMT	https://seucreditohoje.site/direto/2/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/2/index.html	(from https://seucreditohoje.site/direto/)
16:40:13	14825/14825	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2020:04:12%20GMT	https://seucreditohoje.site/direto/4/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/4/index.html	(from https://seucreditohoje.site/direto/)
16:40:57	9489/9489	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2020:04:11%20GMT	https://seucreditohoje.site/direto/5/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/5/index.html	(from https://seucreditohoje.site/direto/)
16:40:57	7077/7077	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2020:04:12%20GMT	https://seucreditohoje.site/direto/7/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/7/index.html	(from https://seucreditohoje.site/direto/)
16:40:57	9987/9987	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2020:04:13%20GMT	https://seucreditohoje.site/direto/6/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/6/index.html	(from https://seucreditohoje.site/direto/)
16:41:00	8819/8819	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2020:04:41%20GMT	https://seucreditohoje.site/direto/app/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/app/index.html	(from https://seucreditohoje.site/direto/)
16:41:41	1141/1141	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:40:59%20GMT	https://seucreditohoje.site/direto/assets/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/assets/index.html	(from https://seucreditohoje.site/direto/)
16:41:41	3205/3205	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:40:59%20GMT	https://seucreditohoje.site/direto/ups/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/ups/index.html	(from https://seucreditohoje.site/direto/)
16:41:43	2491/2491	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:41:01%20GMT	https://seucreditohoje.site/direto/?C=N;O=A	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/indexb70a.html	(from https://seucreditohoje.site/direto/?C=N;O=D)
16:41:43	9820/9820	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2021:55:34%20GMT	https://seucreditohoje.site/direto/site/	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/site/index.html	(from https://seucreditohoje.site/direto/)
16:41:45	33252/33252	---MCZ	200	added ('OK')	text/javascript	etag:W/%225f2b003925600a48e5ef97101a30327e%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://seucreditohoje.site/direto/1oKifuy0/)
16:41:45	2491/2491	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:41:42%20GMT	https://seucreditohoje.site/direto/?C=M;O=D	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/index72c9.html	(from https://seucreditohoje.site/direto/?C=M;O=A)
16:41:45	2491/2491	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:41:42%20GMT	https://seucreditohoje.site/direto/?C=S;O=D	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/index5851.html	(from https://seucreditohoje.site/direto/?C=S;O=A)
16:41:45	232914/232914	---M-Z	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://seucreditohoje.site/direto/2/)
16:41:45	2491/2491	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20May%202025%2019:41:45%20GMT	https://seucreditohoje.site/direto/?C=D;O=D	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/indexad3f.html	(from https://seucreditohoje.site/direto/?C=D;O=A)
16:41:46	16605/16605	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20May%202025%2020:04:13%20GMT	https://seucreditohoje.site/direto/assets/css/style.css	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/assets/css/style.css	(from https://seucreditohoje.site/direto/2/)
16:41:46	80421/80421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a25-1yL6mYLaiqSN+IJRuxiX8Twds7k%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	(from https://seucreditohoje.site/direto/2/)
16:41:47	1473855/1473855	---M-Z	200	added ('OK')	application/javascript	etag:%2264cac444-81e6d%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/js/all.min.js	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/js/all.min.js	(from https://seucreditohoje.site/direto/2/)
16:41:47	644/644	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2008%20May%202025%2020:04:13%20GMT	https://seucreditohoje.site/direto/assets/js/pixel.js	C:/Users/tinoweb/Documents/CLIENTES/MAIO_2025/creditoDIRETO/seucreditohoje.site/direto/assets/js/pixel.js	(from https://seucreditohoje.site/direto/2/)
